gpa,performance,_id,factor1,factor2,factor3,factor4,factor5
6.92,1.85,214286,0.82,0.09,0.77,0.75,0.81
5.14,1.4,218043,0.5,0.64,0.39,0.1,0.02
6.67,2.17,218452,0.17,0.1,0.92,0.48,0.26
13.15,13.15,213078,0.64,0.93,0.33,0.42,0.97
3,0,204799,0.88,0.12,0.22,0.45,0.16
13.49,13.49,215150,0.38,0.51,0.52,0.89,0.91
11.51,10.86,211438,0.36,0.99,0.27,0.19,0.85
5.74,1.57,214534,0.58,0.74,0.5,0.51,0.83
10.24,6.92,211849,0.03,0.99,0.24,0.45,0.45
13.06,12.82,219024,0.16,0.84,0.47,0.22,0.62
11.88,11.07,216856,0.76,0.88,0.12,0.62,0.65
11.65,10.48,211786,0.7,0.65,0.27,0.76,0.5
12.17,11.75,219958,0.96,0.47,0.51,0.74,0.09
14.78,14.78,215891,0.43,0.96,0.19,0.4,0.82
15.43,15.43,216074,0.55,1,0.84,0.77,0.8
11.3,9.89,211999,0.35,0.11,0.95,0.54,0.12
2,2,203287,0.36,0.12,0.59,0.46,0.28
12.55,12.15,214389,0.85,0.82,0.41,0.03,0.75
12.87,11.44,218742,0.93,0.88,0.17,0.28,0.96
12.03,10.4,214405,0.15,0.98,0.99,0.68,0.19
11.68,10.86,217780,0.67,0.31,0.65,0.66,0.11
11.95,11.29,214800,0.81,0.8,0.52,0.54,0.39
2,0,220229,0.47,1,0.62,0.24,0.47
3.83,2,219463,0.35,0.77,0.05,0,0.18
0.96,0.88,212105,0.08,0.6,0.55,0.63,0.83
12.2,11.8,214754,0.89,0.67,0.13,0.74,1
9.74,7.31,215650,0.52,0.08,0.87,0.72,0.72
6.62,3.38,220643,0.87,0.5,0.94,0.98,0.51
2.77,0.92,219646,0.11,0.7,0.28,0.22,0.7
11.43,10.03,218387,0.25,0.8,0.38,0.56,0.45
7.88,4.87,216631,0.35,0.15,0.59,0.9,0.61
9.46,5.54,217589,0.29,0.36,0.75,0.83,0.77
13.63,13.63,213204,0.84,0.83,0.62,0.68,0.02
13.13,12.98,219640,0.12,0.62,0.11,0.83,0.74
6.5,3.67,217914,0.33,0.92,0.5,0.53,0.06
11.64,11.2,211862,0.29,0.28,0.41,0.62,0.86
11.82,10.2,215767,0.99,0.16,0.44,0.99,0.52
14.25,13.72,211975,0.71,0.81,0.7,0.03,0.19
2.69,1.85,213608,0.65,0.44,0.85,0.63,0.7
7.86,6.43,215264,0.61,0.42,0.6,0.32,0.46
5.88,4.93,211227,0.37,0.24,0.16,0.52,0.73
3.46,1.54,216345,0.74,0.09,0.13,0.14,0.57
13.51,13.24,210415,0.46,0.53,0.11,0.11,0.11
13.46,13.46,214262,0.69,0.04,0.49,0.72,0.66
0,0,209444,0.88,0.91,0.95,0.56,0.51
12.23,12.23,217208,0.56,0.52,0.28,0.67,0.72
15.09,15.09,212997,0.01,0.85,0.71,0.63,0.82
10.78,9.19,214725,0.68,0.82,0.47,0.41,0.54
0.54,0,209447,0.77,0.14,0.36,0.51,0.37
12.28,11.72,212647,0.96,0.42,0.29,0.94,0.99
4.48,0.97,212791,0.48,0.41,0.52,0.32,0.23
11.28,9.78,215920,0.74,0.71,0.18,0.86,0.92
11.23,9.08,210416,0.97,0.67,0.11,0.42,0.55
11.79,10.43,213876,0.03,0.26,0.13,0.51,0.64
6.44,3.16,213304,0.05,0.43,0.99,0.63,0.8
13.45,13.31,211909,0.99,0.13,0.65,0.77,0.11
12.99,12.99,214864,0.86,0.6,0.14,0.26,0.89
11.05,9.51,215165,0.62,0.14,0.7,0.95,0.58
12.42,12.33,217955,0.83,0.23,0.2,0.67,0.73
6.31,2.92,211406,0.18,0.9,0.05,0.16,0.93
16.66,16.66,214025,0.8,0.26,0.21,0.66,0.26
11.32,10.97,214987,0.89,0.93,0.35,0.82,0.89
10.69,8.94,213441,0.38,0.57,0.15,0.67,0.09
14.13,14.13,213257,0.48,0.65,0.04,0.78,0.52
13.01,12.75,210499,0.29,0.25,0.89,0.58,0.69
9.13,6.76,217279,0.96,0.75,0.94,0.99,0.53
5.92,1,216926,0.48,0.1,0.69,0.25,0.75
12.37,11.6,212492,0.13,0.15,0.64,0.99,0.02
9.31,6.54,215959,0.71,0.55,0.62,0.68,0.46
13.27,13,216953,0.2,0.43,0.29,0.19,0.37
7.67,4.33,217232,0.26,0.23,0.7,0.81,0.76
15.11,15.11,213443,0.24,0.2,0.62,0.44,0.02
14.68,14.54,215320,0.54,0.21,0.14,0.52,0.12
10.17,7.37,212631,0.95,0.53,0.61,0.27,0.1
14.66,14.66,215078,0.12,0.78,0.4,0.19,0.22
7.23,6.08,212120,0.11,0.46,0.77,0.48,0.94
13.58,13.31,214549,0.06,0.86,0.79,0.06,0.75
13.28,12.78,210817,0.94,0.74,0.66,0.15,0.36
12.46,11.92,212768,0.43,0.21,0.25,0.32,0.6
14.03,14.03,215584,0.11,0.83,0.76,0.51,0.32
14.33,14.09,212099,0,0.88,0.65,0.48,0.29
13.07,12.81,213538,0.72,0.57,0.9,0.82,0.24
5.69,1.85,204187,0.33,0.83,0.72,0.61,0.1
5.08,2.92,218251,0.45,0,0.68,0.78,0.61
13,12.72,213105,0.8,0.75,0.59,0.74,0.07
14,14,216609,0.13,0.3,1,0.31,0.42
14.14,14.14,212835,0.85,0.07,0.61,0.52,1
11.9,10.88,216984,0.65,0.79,0.86,0.07,0.58
14.18,14.18,210818,0.34,0.61,0.23,0.04,0.3
11.84,11.01,215329,0.25,0.18,0.32,0.25,0.33
7.08,3.08,212084,0.83,0.56,0.13,0.49,0.94
13.16,13.16,214041,0.37,0.96,0.67,0.91,0.83
4.23,1.77,214190,0.41,0.81,0.09,0.63,0.76
12.3,12.06,212814,0.72,0.07,0.73,0.94,0.15
5.97,3.16,217700,0.72,0.86,0.89,0.7,0.55
10.76,7.32,212809,0.59,0.87,0.81,0.48,0.33
14.21,14.21,214868,0.64,0.96,0.37,0.1,0.65
6.38,2.46,218165,0.64,0.52,0.61,0.33,0.4
13.82,13.82,211197,0.93,0.96,0.63,0.03,0.94
11.93,11.51,214296,0.35,0.84,0.69,0.93,0.8
16.18,16.18,210819,0.07,0.62,0.99,0.74,0.04
7.23,2.69,211740,0.68,0.91,0.31,0.9,0.04
7.27,5.7,218765,0.25,0.14,0.33,0.81,0.63
16.51,16.51,213842,0.7,0.71,0.77,0.73,0.52
7.23,6.08,210420,0.1,0.79,0.94,0.47,0.94
11.68,11.16,218705,0.12,0.19,0.1,0.78,0.1
14.45,14.45,211731,0.46,0.28,0.4,0.19,0.84
14.34,14.22,215570,0.34,0.94,0.37,0.1,0.55
10.36,8.8,213270,0.93,0.19,0.08,0.75,0.87
13.29,13.29,215322,0.22,0.54,0.78,0.11,0.01
2.79,0.92,214957,0.25,0.18,0.09,0.03,0.51
14.88,14.64,212361,0.88,0.98,0.88,0.83,0.62
10.54,8.34,214630,0.47,0.93,0.78,0.64,0.76
6.62,3.38,217272,0.67,0.78,0.45,0.47,0.85
12.6,12.05,213237,0.6,0.55,0.72,0.68,0.91
12.9,12.09,211198,1,0.39,0.2,0.65,0.99
12.45,11.87,214835,0.29,1,0.82,0.02,0.62
12.49,11.8,212968,0.57,0.52,0.33,0.13,0.26
6.92,3.08,210500,0.07,0.81,0.02,0.07,0.83
7.94,4.18,214790,0.31,0.66,0.15,0.77,0.41
6.97,2,216336,0.79,0.22,0.16,0.23,0.99
12.96,12.45,216616,0.32,0.06,0.83,0.21,0.72
12.63,12.52,213087,0.98,0.36,0.47,0.28,0.3
15.72,15.72,211655,0.98,0.91,0.78,0.42,0.92
5.92,3.54,214604,0.85,0.38,0.55,0.85,0.56
12.14,11.51,213758,0.29,0.11,0.02,0.54,0.71
14.93,14.66,215391,0.44,0.56,0.22,0.95,0.7
15.26,15.26,212682,0.58,0.42,0.51,0.98,0.12
13.56,13.56,212787,0.58,0.77,0.06,0.92,0.02
12.13,11.74,213116,0.16,0.19,0.2,0.5,0.21
13.54,13.54,211421,0.71,0.46,0.05,0.01,0.6
15.09,14.82,215193,0.35,0.62,0.6,0.21,0.73
13.44,13.3,212566,0.07,0.09,0.37,0.99,0.27
5.83,2.49,212208,0.91,0.07,0.96,0.96,0.24
3,0,219731,0.57,0.52,0.19,0.29,0.02
8.18,5.49,213071,0.47,0.22,0.01,0.16,0.59
2.85,1.62,213035,0.85,0.76,0.54,0.06,0.53
13.65,13.37,212133,0.95,0.25,0.37,0.52,0.6
11.87,11.21,213191,0.12,0.49,0.07,0.38,0.82
2.08,0,212965,0.65,0.25,0.25,0.07,0.31
12.57,12.31,210422,0.38,0.43,0.38,0.9,0.48
16.21,16.21,214741,0.01,0.05,0.57,0.78,0.48
9.69,6.46,212469,0.45,0.8,0.06,0.55,0.02
9.41,6.03,215752,0.35,0.28,0.97,0.65,0.37
12,11.64,213517,0.88,0.67,0.97,0.26,0.76
12.66,12.15,213514,0.29,0.61,0.14,0.59,0.14
7.69,4.38,216471,0.34,0.25,0.64,0.68,0.86
8.07,5.11,212840,0.39,0.34,0.84,0.19,0.27
15.25,15.25,212972,0.02,0.87,0.48,0.28,0.12
13.4,13.4,213718,0.6,0.95,0.44,0.45,0.82
0.62,0,205495,0.93,0.07,0.6,0.89,0.91
12.52,11.79,214248,0.6,0.02,0.87,0.1,0.33
13.19,13.19,214745,0.13,0.15,0.86,0.84,0.9
12.25,10.9,214484,0.9,0.29,0.49,0.68,0.44
11.47,9.78,214876,0.14,0.86,0.1,0.43,0.4
12.62,12.09,213754,0.08,0.85,0.26,0.17,0.55
12.94,12.57,211745,0.87,0.16,0.57,0.48,0.4
4.38,1.13,215622,0.35,0.19,0.55,0.75,0.28
15.77,15.77,216625,0.25,0.16,0.6,0.91,0.89
2.63,1.88,204835,0.06,0.98,0.01,0.08,0.42
12.69,12.31,216247,0.17,0.53,0.9,0.08,0.05
13,12.35,213526,0.3,0.62,0.18,0.98,0.08
11.21,9.73,216881,0.46,0.25,0.14,0.75,0.34
14.65,14.65,213988,0.23,0.4,0.38,0.2,0.12
2.75,0,202341,0.29,0.08,0.28,0.71,0.91
11.59,10.73,216248,0.3,0.52,0.27,0.26,0.1
13.37,13.09,210425,0.29,0.73,0.41,0.94,0.64
3.62,0.85,211944,0.82,0.7,0.88,0.45,0.25
11.14,9.51,216517,0.26,0.93,0.56,0.69,0.09
13.03,12.54,215271,0.1,0.64,0.88,0.77,0.11
9.54,8.38,214659,0.72,0.13,0.27,0.29,0.71
6.31,2.15,214054,0.86,1,0.97,0.42,0.43
13.56,13.56,216133,0.74,0.07,0.3,0.77,0.17
14.1,14.1,213953,0.19,0.57,0.13,0.62,0.39
10.75,9.52,214728,0.51,0.53,0.24,0.68,0.51
5.23,2.54,215599,0.83,0.75,0.75,0.87,0.23
13.65,13.37,212057,0.18,0.99,0.11,0.4,0.72
9.61,7.26,210503,0.9,0.87,0.07,0.99,0.94
13.45,13.45,215121,0.61,0.85,0.38,0.8,0.54
3.92,1.85,210504,0.27,0.28,0.09,0.25,0.41
12.63,12.28,212017,0.17,0.87,0.01,0.63,0.4
2.38,1.69,211656,0.78,0.7,0.11,0.14,0.43
4.51,1.38,215538,0.23,0.66,0.5,0.11,0.58
4,1.85,215353,0.92,0.55,0.95,0.14,0.53
11.78,11.06,212630,0.94,0.61,0.72,0.33,0.74
10.4,9.53,213253,0.93,0.95,0.52,0.31,0.4
5.15,2.85,211860,0.08,0.78,0.37,0.6,0.06
8.68,5.56,219689,0.49,0.47,0.19,0.24,0.58
6.69,2.85,214760,0.67,0.93,0.35,0.08,0.04
13.1,13.1,216894,0.21,0.07,0.58,0.17,0.03
14.62,14.62,215067,0.98,0.76,0.97,0.87,0.22
13.97,13.97,212311,0.14,0.47,0.78,0.94,0.38
9.79,8.19,215820,0.36,0.73,0.97,0.5,0.67
12.81,11.72,217680,0.56,0.02,0.14,0.89,0.25
7.54,2.92,212266,0.99,0.59,0.45,0.97,0.42
12,11.67,215107,0.82,0.17,0.06,0.1,0.21
5.92,3.31,215099,0.41,0.5,0.52,0.25,0.29
12.46,11.98,212066,0.51,0.92,0.98,0.72,0.01
11.95,10.63,214906,0.2,0.56,0.92,0.46,0.28
15.55,15.55,211264,0.72,0.91,0.07,0.97,0.56
12.78,12.27,214132,0.59,0.38,0.63,0.61,0.12
14.32,14.03,215679,0.05,0.21,0.16,0.28,0.51
11.69,10.97,216503,0.2,0.24,0.46,0.38,0.85
3.23,0.92,212888,0.72,0.52,0.7,0.73,0.23
12.05,11.62,215276,0.1,0.03,0.21,0.05,0.33
7.73,4.05,218949,0.63,0.37,0.21,0.74,0.18
11.1,9.64,210429,0.33,0.86,0.9,0.59,0.79
10.15,5.46,215851,0.8,0.15,0.39,0.65,0.17
6.23,3.46,214480,0.79,0.68,0.84,0.55,0.12
8.69,4.23,212900,0.07,0.13,0.13,0.87,0.24
13.59,13.59,210430,0.8,0.04,0.46,0.84,0.2
6.85,1.77,212092,0.79,0.21,0.47,0.35,0.36
11.22,9.58,212378,0.56,0.27,0.94,0.13,0.31
8.46,5.85,210431,0.35,0.64,0.08,0.24,0.14
11.84,10.59,216370,0.58,0.33,0.05,0.46,0.27
11.14,9.35,213524,0.06,0.04,0.39,0.24,0.31
9.77,8.69,213320,0.48,0.76,0.2,0.21,0.43
13.85,13.85,213214,0.24,0.99,0.37,0.72,0.18
11.97,11.7,217642,0.02,0.56,0.13,0.12,0.65
11.53,10.6,213219,0.56,0.92,0.08,0.56,0.99
12.77,12.11,220102,0.91,0.05,0.49,0.44,0.71
11.64,10.21,214804,0.59,0.33,0.69,0.57,0.62
13.97,13.71,212854,0.43,0.3,0.82,0.86,0.49
3.85,2.15,212850,0.15,0.84,0.11,0.27,0.25
10.91,9.56,216948,0.86,0.09,0.24,0.19,0.77
11.85,11.18,220412,0.22,0.9,0.66,0.54,0.57
7,1.85,213611,0.27,0.01,0.97,0.57,0.43
7.83,4.17,217351,0.05,0.46,0.83,0.32,0.94
13.4,13.06,215333,0,0.79,0.87,0.76,0.2
11.42,9.89,214806,0.31,0.27,0.12,0.62,0.1
7,5.62,213609,0.53,0.35,0.55,0.02,0.59
13.17,12.61,219481,0.63,0.92,0.28,0.76,0.31
13.38,13.38,218771,0.31,0.99,0.46,0.89,0.56
3.17,1.67,218280,0.07,0.19,0.32,0.7,0.76
9.9,6.55,212357,0.15,0.64,0.64,0.8,0.78
11.9,10.98,218599,0.02,0.76,0.55,0.49,0.36
11.97,11.6,214150,0.51,0.67,0.44,0.97,0.44
12.07,11.09,215346,0.04,0.17,0.29,0.43,0.93
5,1.39,212337,0.91,0.76,0.6,0.24,0.72
14.83,14.83,217379,0.19,0.89,0.01,0.38,0.09
11.83,11.25,216464,0.23,0.24,0.44,0.19,0.46
11.73,11.07,212941,0.24,0.39,0.96,0.18,0.07
9.67,7.78,202925,0.01,0.09,0.94,0.22,0.57
12.42,12.03,211966,0.3,0.43,0.44,0.01,0.51
7.63,3.15,212206,0.62,0.23,0.98,0.19,0.91
11.33,9.75,212032,0.36,0.21,0.92,0.02,0.29
13.44,13.3,213396,0.13,0.99,0.41,0.56,0.81
13.16,13.03,217634,0.29,0.03,0.58,0.62,0.36
10.43,7.58,219619,0.57,0.58,0.84,0.71,0.55
13.66,13.66,212405,0.54,0.1,0.88,0.01,0.15
9.23,8.46,218232,0.09,0.25,0.55,0,0.07
8.81,5.78,213593,0.81,0.05,0.79,0.93,0.36
15.91,15.91,216325,0.94,0.41,0.2,0.36,0.39
2.85,1.92,211234,0.27,0.31,0.59,0.14,0.11
6,1.77,211645,0.24,0.8,0.13,0.36,0.6
14.3,14.3,211714,0.99,0.02,0.36,0.02,0.23
6,2,218394,0.33,0.84,0.38,0.2,0.75
12.09,11.36,211331,0.09,0.35,0.74,0.12,0.5
6.13,1.62,217048,0.32,0.29,0.63,0.38,0.86
6.4,2.2,206274,0.82,0.82,0.69,0.56,0.48
5.68,1.36,218065,0.25,0.1,0.64,0.29,0.49
8.62,5.69,213500,0.2,0.79,0.67,0.91,0.91
9.08,6.23,219710,0.85,0.84,0.06,0.18,0.45
12.92,12.45,215077,0.96,0.46,0.65,0.99,0.29
0,0,205808,0.3,0.02,0.14,0.85,0.98
4.92,1.69,217203,0.81,0.62,0.87,0.19,0.9
10.62,8.85,213225,0.11,0.41,0.55,0.06,0.94
1.85,1.08,214878,0.34,0.53,0.66,0.01,0.78
12.31,11.77,214836,0,0.8,0.91,0.99,0.21
7,3.92,214371,0.48,0.27,0.32,0.49,0.72
10.78,9.38,210435,0.93,0.78,0.48,0.3,0.43
12.39,11.96,211226,0.71,0.77,0.92,0.6,0.53
11.45,10.4,211701,0.09,0.49,0.4,0.08,0.53
5.17,1.83,212674,0.2,0.98,0.45,0.94,0.89
6.67,2,217512,0.68,0.44,0.62,0.79,0.29
15.82,15.54,215028,0.19,0.59,0.97,0.56,0.18
9.23,7.15,213494,0.11,0.82,0.35,0.42,0.07
7.31,3.54,214173,0.49,0.63,0.05,0.72,0.57
5.54,1.92,217059,0.25,0.64,0.38,0.16,0.26
8,3.67,218250,0.02,0.11,0.21,0.36,0.23
12.01,11.32,217684,0.51,0.29,0.52,0.74,0.5
5.71,1.57,217795,0.04,0.64,0.07,0.5,0.58
12.13,10.42,219206,0.4,0.4,0.69,0.21,0.44
5.9,1.86,212270,0.03,0.6,0.39,0.77,0.96
13.16,13.16,213060,0.35,0.04,0.05,0.44,0.1
12.72,11.91,215718,0.22,0.67,0.14,0.77,0.97
8.69,5.23,217853,0.61,0.48,0.45,0.34,0.38
14,14,214450,0.56,0.45,0.12,0.28,0.91
7.15,4,213504,0.57,0.94,0.09,0.68,0.64
11.51,10.57,212008,0.81,0.07,0.65,0.77,0.95
11.54,10.86,212005,0.27,0.81,0.59,0.96,0.48
7.44,3.64,210824,0.64,0.35,0.27,0.52,0.18
16.18,16.18,215214,0.63,0.41,0.39,0.64,0.4
10,8.46,216379,0.3,0.43,1,0.56,0.73
6.92,2.85,214827,0.99,0.22,0.26,0.76,0.04
13.69,13.56,214022,0.23,0.16,0.91,0.83,0.24
14.25,14.12,219692,0.85,0.13,0.57,0.71,0.34
15.49,15.49,217198,0.09,0.71,0.1,0.72,0.69
11.67,10.68,200376,0.45,0.83,0.21,0.94,0.33
4.4,1,201609,0.45,0.9,0.26,0.94,0.46
10.44,7.95,213914,0.31,0.3,0.95,0.13,0.57
3.31,2.31,218540,0.45,0.51,0.72,0.17,0.52
13.48,13.18,216635,0.07,0.61,0.03,0.39,0.09
7.95,4.59,217329,0.73,0.52,0.88,0.12,0.88
14.13,14.13,215945,0.44,0.43,0.69,0.35,0.4
14.78,14.78,217899,0.71,0.91,0.69,0.7,0.59
14.03,14.03,212895,0.15,0.17,0.17,0.49,0.03
12.54,12.27,215575,0.95,0.26,0.76,0.34,0.05
6.28,3.97,218238,0.46,0.54,0.94,0.4,0.5
12.46,12.33,211225,0.37,0.42,0.61,0.37,0.47
8,3.38,210507,0.65,0.49,0.7,0.81,0.47
7.65,4.22,214660,0.96,0.19,0.78,0.16,0.87
12.84,12.54,218625,0.71,0.42,0.72,0.7,0.53
12.37,11.78,217699,0.69,0.91,0.99,0.49,0.62
8.5,2.33,213398,0.47,0.07,0.29,0.03,0.62
11.5,11.5,213324,0.08,0.31,0.15,0.35,0.97
12.13,11.12,210826,0.06,0.92,0.89,0.81,0.52
2.78,2.41,214726,0.58,0.67,0.73,0.97,0.81
11.02,10.25,215119,0.47,0.21,0.88,0.31,0.41
12.53,12.14,219662,0.45,0.65,0.36,0.88,0.66
14.13,13.7,215079,0.11,0.27,0.79,0.52,0.56
12.63,12.15,216851,0.26,0.11,0.46,0.1,0.66
13.07,12.54,213014,0.69,0.1,0.6,0.94,0.28
5.77,2.36,216788,0,0.46,0.65,0.65,0.92
13.48,13.35,219680,0.96,0.52,0.56,0.87,0.2
11.14,9.17,210827,0.11,0.83,0.24,0.29,0.57
7.08,2.85,219163,0.77,0.51,0.98,0.78,0.08
7.21,5.45,219337,0.9,0.57,0.92,0.32,0.52
3.44,1.89,213146,0.83,0.66,0.55,0.45,0.93
12.13,11.48,217457,0.78,0.98,0.35,0.74,0.76
13.93,13.67,216135,0.76,0.07,0.69,0.05,0.82
13.22,12.57,214092,0.26,0,0.07,0.42,0.93
13.31,13.18,214216,0.44,0.19,0.35,0.4,0.76
5.5,2,212788,0.53,0.06,0.3,0.65,0.71
12.55,12.55,213566,0.83,0.37,0.63,0.81,0.31
11.63,10.43,217920,0.2,0.03,0.25,0.07,0.19
10.26,7.84,219425,0.71,0.79,0.89,0.96,0.44
14.38,14.11,215589,0.63,0.98,0.51,0.89,0.02
10.41,10.02,219618,0.34,0.66,0.15,0.59,0.55
8.89,7.45,219851,0.11,0.18,0.76,0.77,0.96
13.1,12.69,219899,0.76,0.23,0.21,0.02,0.5
10.92,9.39,213028,0.01,0.77,0.85,0.71,0.14
10.28,8.94,216235,0.92,0.77,0.4,0.46,0.19
8.52,5.82,213122,0.35,0.02,0.39,0.69,0.6
14.16,14.16,214919,0.55,0.92,0.24,0.2,0.68
11.63,10.28,213765,0.24,0.25,0.25,0.63,0.27
13.63,12.94,214771,0.98,0.27,0.03,0.63,0.52
15.66,15.66,215518,0.34,0.67,0.03,0.24,0.37
15.28,15.28,214226,0.75,0.44,0.82,0.11,0.19
3.62,1.62,215405,0.88,0.06,0.6,0.04,0.88
13.46,13.46,213130,0.97,0.41,0.61,0.58,0.43
9.69,6.69,216785,0.48,0.81,0.21,0.42,0.32
4.08,1.85,216193,0.45,0.46,0.2,0.16,0.55
12.33,11.29,211707,0.57,0.83,0.26,0.45,0.49
9.11,7.61,218878,0.56,0.64,0.32,0.08,0.39
11.48,10.18,215692,0.02,0.46,0.24,0.95,0.08
5.73,3.32,217187,0,0.39,0.72,0.38,0.71
12.57,12.15,213488,0.08,0.2,0.81,0.27,0.2
2.46,1.69,213152,0.96,0.39,0.92,0.34,0.72
14.65,14.65,214090,0.18,0.85,0.2,0.03,0.87
12.57,11.83,215576,0.78,0.84,0.74,0.92,0.53
13.58,13.58,211914,0.05,0.66,0.47,0.39,0.13
12.64,12.51,213184,0.02,0.96,0.59,0.7,0.14
8.08,3.62,211249,0.67,0.61,0.34,0.36,0.31
6.69,2.85,210509,0.29,0.05,0.52,0.79,0.35
